Order_Line;Order_ID;Order_Date;Ship_Date;Ship_Mode;Customer_ID;Product_ID;Sales;Quantity;Discount;Profit;s_prod_id;s_cust_id
2,00;CA-2014-112326;22/06/2016 00:00;26/06/2016 00:00;Standard Class;PO-19195;OFF-LA-10003223;11,78;3,00;20,00;4,27;988,00;606,00
4,00;CA-2014-112326;22/06/2016 00:00;26/06/2016 00:00;Standard Class;PO-19195;OFF-BI-10004094;3,54;2,00;80,00;-5,49;805,00;606,00
6,00;CA-2014-130813;24/06/2016 00:00;26/06/2016 00:00;Second Class;LS-17230;OFF-PA-10002005;19,44;3,00;,00;9,33;1 150,00;475,00
8,00;CA-2014-167199;24/06/2016 00:00;28/06/2016 00:00;Standard Class;ME-17320;FUR-CH-10004063;2 573,82;9,00;,00;746,41;119,00;498,00
10,00;CA-2014-167199;24/06/2016 00:00;28/06/2016 00:00;Standard Class;ME-17320;OFF-AR-10001662;5,48;2,00;,00;1,48;526,00;498,00
12,00;CA-2014-167199;24/06/2016 00:00;28/06/2016 00:00;Standard Class;ME-17320;TEC-PH-10004539;755,96;4,00;,00;204,11;1 846,00;498,00
14,00;CA-2014-167199;24/06/2016 00:00;28/06/2016 00:00;Standard Class;ME-17320;OFF-PA-10000955;6,54;1,00;,00;3,01;1 080,00;498,00
16,00;CA-2014-105417;25/06/2016 00:00;30/06/2016 00:00;Standard Class;VS-21820;OFF-BI-10003708;10,43;7,00;80,00;-18,25;788,00;785,00
18,00;CA-2014-135405;27/06/2016 00:00;01/07/2016 00:00;Standard Class;MS-17830;TEC-AC-10001266;31,20;3,00;20,00;9,75;1 491,00;541,00
20,00;CA-2014-149020;28/06/2016 00:00;03/07/2016 00:00;Standard Class;AJ-10780;FUR-FU-10000965;51,94;1,00;,00;21,30;171,00;37,00
22,00;CA-2014-162775;01/07/2016 00:00;03/07/2016 00:00;Second Class;CS-12250;OFF-EN-10001990;11,36;2,00;,00;5,34;866,00;177,00
24,00;CA-2014-162775;01/07/2016 00:00;03/07/2016 00:00;Second Class;CS-12250;TEC-AC-10003174;646,74;6,00;,00;258,70;1 554,00;177,00
26,00;CA-2014-162775;01/07/2016 00:00;03/07/2016 00:00;Second Class;CS-12250;OFF-ST-10000025;572,58;6,00;,00;34,35;1 290,00;177,00
28,00;CA-2014-157147;01/07/2016 00:00;06/07/2016 00:00;Standard Class;BD-11605;OFF-ST-10000078;1 325,85;5,00;,00;238,65;1 294,00;71,00
30,00;CA-2014-157147;01/07/2016 00:00;06/07/2016 00:00;Standard Class;BD-11605;OFF-AR-10003514;19,90;5,00;,00;6,57;586,00;71,00
32,00;CA-2014-118192;01/07/2016 00:00;06/07/2016 00:00;Standard Class;MM-17920;OFF-BI-10003476;3,44;2,00;70,00;-2,52;776,00;526,00
34,00;CA-2014-103366;03/07/2016 00:00;05/07/2016 00:00;First Class;EH-13990;TEC-AC-10003628;149,95;5,00;,00;65,98;1 567,00;260,00
36,00;CA-2014-115791;04/07/2016 00:00;06/07/2016 00:00;Second Class;DL-13315;TEC-PH-10004614;124,20;3,00;40,00;-31,05;1 848,00;220,00
38,00;CA-2014-115791;04/07/2016 00:00;06/07/2016 00:00;Second Class;DL-13315;OFF-LA-10001074;30,07;3,00;20,00;10,15;959,00;220,00
40,00;CA-2014-146591;07/07/2016 00:00;08/07/2016 00:00;First Class;TS-21340;OFF-BI-10003676;32,34;10,00;70,00;-23,72;784,00;764,00
42,00;CA-2014-146591;07/07/2016 00:00;08/07/2016 00:00;First Class;TS-21340;OFF-EN-10002504;108,72;5,00;20,00;36,69;870,00;764,00
44,00;US-2014-147627;08/07/2016 00:00;14/07/2016 00:00;Standard Class;HL-15040;TEC-PH-10001061;699,93;7,00;,00;181,98;1 712,00;328,00
46,00;US-2014-147627;08/07/2016 00:00;14/07/2016 00:00;Standard Class;HL-15040;FUR-FU-10003194;38,60;4,00;,00;11,58;251,00;328,00
48,00;US-2014-147627;08/07/2016 00:00;14/07/2016 00:00;Standard Class;HL-15040;OFF-EN-10001539;23,34;3,00;,00;10,97;864,00;328,00
50,00;CA-2014-148614;08/07/2016 00:00;13/07/2016 00:00;Standard Class;MV-17485;OFF-PA-10002893;19,36;2,00;,00;9,29;1 191,00;545,00
52,00;CA-2014-167927;08/07/2016 00:00;14/07/2016 00:00;Standard Class;XP-21865;OFF-ST-10000760;13,98;1,00;,00;4,05;1 317,00;789,00
54,00;CA-2014-167927;08/07/2016 00:00;14/07/2016 00:00;Standard Class;XP-21865;OFF-BI-10000605;19,05;5,00;,00;8,95;661,00;789,00
